id	value	task	text	hypothesis
1944	TRUE	IE	African presidents opened a two-day summit in Accra, Ghana, on Ivory Coast, where northern rebels and fiercely loyalist southerners continue to split the cocoa-rich country, ignoring a never-implemented 2003 power-sharing deal.	Accra is located in Ghana.
1607	FALSE	IE	A marine who was kidnapped while patrolling a dangerous Baghdad quarter by himself has turned up safe and well in the Lebanon.	A marine has been kidnapped by himself.
1940	TRUE	IE	The plan was released by Mr Dean on behalf of the Secretary of Health and Human Services, Tommy Thompson, still recovering from a recent accident, at a Secretarial Summit on Health Information Technology that was attended by many of the nation&apos;s leaders in electronic health records.	Tommy Thompson is the Secretary of Health and Human Services.
1609	TRUE	IE	The recent G8 summit, held June 8-10, brought together leaders of the world&apos;s major industrial democracies.	The recent G8 summit took place on June 8-10.
1673	FALSE	IE	Two employees of the U.S. Immigration Service will go to Moscow to help handle the processing.	U.S. Immigration Service is an organisation based in Moscow.
1680	FALSE	IE	Abrams&apos; 3-year service as head of the Latin America bureau will end next week with the inauguration of President-elect Bush in Washington.	Abrams lives in Latin American.
1630	FALSE	IE	Henryk Wieniawski, a Polish-born musician, was known for his special preference for resurrecting neglected or lost works for the violin.	Henryk Wieniawski was born in Polish.
1947	TRUE	IE	Yukos ignites oil prices	Oil prices rise.
1625	TRUE	IE	More than 250 paintings commemorate the centennial of the Man Ray&apos;s birth in Philadelphia.	Man Ray was born in Philadelphia.
1646	FALSE	IE	Police reports say Gallardo assaulted his wife at school in late January, and friends said she was also attacked another time near where she was killed.	Gallaro killed his wife.
1668	TRUE	IE	Two conservative federate appellate judges, Ralph Winter of the 2nd U.S Circuit Court of Appeals in New York, and Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia have been appointed by Reagan.	Ralph Winter works for the 2nd U.S. Circuit of Appeals in New York.
1623	TRUE	IE	In Waco, near Nelson&apos;s hometown of Abbott, auto parts salesman Dave Crowe proposed that fans join ``Willie Aid&apos;&apos; by mailing donations straight to the IRS.	Nelson was born in Abbott.
1890	FALSE	IE	The organizers of the 15th International AIDS Conference, scheduled for next month in Bangkok, Thailand, last Saturday responded to press reports that a prominent hotel in Bangkok discriminated against HIV-positive visitors attending a conference on climate changes.	The 15th International AIDS Conference was held last Saturday.
1897	TRUE	IE	Latvia, for instance, is the lowest-ranked team in the field but defeated World Cup semifinalist Turkey in a playoff to qualify for the final 16 of Euro 2004.	Turkey is defeated by Latvia.
2008	FALSE	IE	Mr. Griffith stated that he &quot;can&apos;t understand the vote by a City Council member against applying for a grant&quot;	Mr. Griffith is a member of the City Council.
1667	FALSE	IE	Regan attended a ceremony in Washington to commemorate the landings in Normandy.	Washington is located in Normandy.
1657	FALSE	IE	The ANSA agency said the operation involves police in Umbria and Lazio provinces in central Italy and Campania province in the south.	The ANSA agency is an organisation based in Umbria and Lazio provinces.
1621	TRUE	IE	Jesse Owens, the Olympic legend from Danville, Ala., was born in 1913.	Jesse Owens was born in Danville, Ala.
1687	TRUE	IE	Born in Athens, Psacharopoulos came to the United States at age 17 to enter Oberlin College, where he met Jean Hackett, an actress of New York City.	Psacharopoulos is from Athens.
1661	TRUE	IE	Regan recalled that he read a letter from a young woman whose late father had fought at Ohama Beach, a Normandy sector.	Ohama Beach is located in Normandy.
1998	FALSE	IE	Mrs. Thatcher promised Haughey that Tom King, her minister for Northern Ireland, would make a statement soon about the ``organizational implications&apos;&apos; of the affair, the British spokesman said.	Tom King was born in Northern Ireland.
1634	TRUE	IE	William Leonard Jennings sobbed loudly as was charged with killing his 3-year-old son, Stephen, who was last seen alive on Dec. 12, 1962.	William Leonard Jennings killed his 3-year-old son, Stephen.
1877	TRUE	IE	The English team arrived last night in Lisbon, Portugal, to play its first Euro 2004&apos;s match.	Euro 2004 is held in Portugal.
1938	FALSE	IE	The plan was released by Mr Dean on behalf of the Secretary of Health and Human Services, Tommy Thompson, still recovering from a recent accident, at a Secretarial Summit on Health Information Technology that was attended by many of the nation&apos;s leaders in electronic health records.	Tommy Thompson takes part in a Secretarial Summit on Health Information Technology.
1616	TRUE	IE	In 1833, Benjamin Harrison, the 23rd president of the United States, was born in North Bend, Ohio.	The 23rd President of the United States was born in Ohio.
1952	TRUE	IE	Crude oil prices soared to record levels	Crude oil prices rise.
1888	TRUE	IE	The organizers of the 15th International AIDS Conference, scheduled for next month in Bangkok, Thailand, last Saturday responded to press reports that a prominent hotel in Bangkok discriminated against HIV-positive visitors attending a conference on climate changes.	The 15th International AIDS Conference takes place in Bangkok.
1873	TRUE	IE	Greece was the birthplace of the ancient Olympic Games. The 2004 Olympic Games will return to their origins when Athens hosts the Games of the XXVIII Olympiad.	The 2004 Olympic Games are held in Athens.
1672	FALSE	IE	Mark Said and Philip Dick, two members of Ontario Bradley First Air&apos;s crew, were from Montreal, Canada.	Mark Said was born in Ontario.
1874	FALSE	IE	In 1984 Los Angeles saw a record 140 nations taking part in the XXIII Olympiade, despite the boycott led by the Soviet Union	The XXIII Olympiade took place in the Soviet Union.
1655	TRUE	IE	The ANSA agency said the operation involves police in Umbria and Lazio provinces in central Italy and Campania province in the south, without specifying exact arrest locations.	Umbria and Lazio provinces are located in central Italy.
1894	FALSE	IE	After Germany&apos;s 0-0 draw Saturday with 500-1 underdog Latvia, it may be that the German team simply doesn&apos;t have enough talent.	Germany defeats Latvia.
1903	TRUE	IE	The U.S. handed power on June 30 to Iraq&apos;s interim government chosen by the United Nations and Paul Bremer, former governor of Iraq.	Paul Bremer is the former governor of Iraq.
1603	TRUE	IE	Armed Iraqi insurgents threatened to kill a Filipino hostage if his country does not withdraw from Iraq within three days.	A Filipino has been kidnapped by armed Iraqi insurgents.
1679	TRUE	IE	Abrams&apos; 3-year service as head of the Latin America bureau will end next week with the inauguration of President-elect Bush in Washington.	Abrams works for the Latin America bureau.
2062	FALSE	IE	Things would be different if Microsoft was located in Georgia.	Microsoft&apos;s corporate headquarters are located in Georgia.
2087	FALSE	IE	The nomadic Raiders moved to LA in 1982 and won their third Super Bowl a year later.	The nomadic Raiders won the Super Bowl in 1982.
1900	TRUE	IE	Teenage sensation Wayne Rooney powered England into the quarter-finals of Euro 2004 with two goals in Monday&apos;s 4-2 defeat of Croatia and they were joined in the last eight by champions France who beat Switzerland 3-1.	France defeats Switzerland.
1627	TRUE	IE	Taxpayers will be pleased to learn that a federal grant for Lawrence Welk&apos;s North Dakota birthplace has finally been buried, nine months after an embarrassed Congress voted to kill it.	Lawrence Welk was born in North Dakota
2092	FALSE	IE	Interestingly, the current Mayor of Berlin, Klaus Wowereit, is openly gay, as is the Mayor of Paris, Bertrand Delanoe.	Klaus Wowereit is the Mayor of Paris.
1663	FALSE	IE	All residential areas in South Africa are segregated by race and no black neighborhoods have been established in Port Nolloth.	Black neighborhoods are located in Port Nolloth.
1648	FALSE	IE	The survey responses were destroyed because of a &apos;&apos;witch hunt&apos;&apos; for John Hugh, a doctor who described a mercy killing in a medical journal, said Derek Humphry.	John Hugh killed Derek Humphry.
1669	TRUE	IE	Two members of Ontario Bradley First Air&apos;s crew were from Montreal, Canada.	Bradley First Air is an organisation based in Ontario.
1881	TRUE	IE	The Lillehammer Olympic Games organizing committee said 65 countries have entered the competition, matching the number of nations at the 1992 Winter Games in Albertville, France.	The Olympic Games are held in Lillehammer.
1901	FALSE	IE	Teenage sensation Wayne Rooney powered England into the quarter-finals of Euro 2004 with two goals in Monday&apos;s 4-2 defeat of Croatia and they were joined in the last eight by champions France who beat Switzerland 3-1.	Croatia is defeated by France.
1882	TRUE	IE	Security preparations kept protestors at bay at the recent G8 Summit on Sea Island (USA).	The recent G8 Summit took place on Sea Island.
1686	FALSE	IE	Born in Athens, Psacharopoulos came to the United States at age 17 to enter Oberlin College, where he met Jean Hackett, an actress of New York City.	Athens is located in the United States.
1624	FALSE	IE	In Waco, near Nelson&apos;s hometown of Abbott, auto parts salesman Dave Crowe proposed that fans join ``Willie Aid&apos;&apos; by mailing donations straight to the IRS.	Nelson was born in Waco.
1887	TRUE	IE	The Geneve-based FAO organizing committee has announced that the location of the 4th International World Food Security conference has been moved from Bangkok to New Delhi for security reasons.	The FAO organizing committee has its headquarters in Geneve.
1905	TRUE	IE	Former taoiseach Mr John Bruton, a vice-president of the EPP, said the group had a number of potential candidates for the post of Commission president	Mr John Bruton is a vice-president of the EPP.
1878	FALSE	IE	Miscellany Coastal Georgia&apos;s Tybee Island was dropped as the site for the 1996 Olympic beach volleyball competition.	The 1996 Olympic volley competition was held in Tybee Island.
1895	TRUE	IE	Latvia, for instance, is the lowest-ranked team in the field but defeated World Cup semifinalist Turkey in a playoff to qualify for the final 16 of Euro 2004.	Latvia beats Turkey.
1622	FALSE	IE	In Waco, near Nelson&apos;s hometown of Abbott, auto parts salesman Dave Crowe proposed that fans join &apos;&apos;Willie Aid&apos;&apos; by mailing donations straight to the IRS.	Abbott was born in Nelson.
1629	FALSE	IE	Baby Evelyn, the first child of Judy Keys, 22, and Airman Todd Keys, 21, stationed at Lackland Air Force Base, was born with only a brain stem.	Todd Keys was born at Lackland Air Force Base.
1647	FALSE	IE	Johnston is the seventh person to be killed in sectarian violence this year in Northern Ireland where the outlawed IRA is fighting to end British rule in the province.	IRA killed Johnston.
1893	FALSE	IE	Italy and Germany have each played twice, and they haven&apos;t beaten anybody yet.	Italy defeats Germany.
1459	FALSE	IE	&quot;I&apos;ve been a Howard Stern fan since his WNBC (a New York radio station) days and I was one of the ones at New Line who sought him out,&quot; says Mike DeLuca, president of New Line Cinema production.	Howard Stern works for K-Rock.
2006	FALSE	IE	A reporter found Chapman at the downtown Dade County Public Library Tuesday.	Chapman works for Dade County Public Library.
1618	FALSE	IE	Richard Rich, born Richard Rosenheim -he changed his name when he moved to New York- took over in the late 1940s and guided the store until his death in 1975.	Richard Rosenheim was born in New York
1682	TRUE	IE	At a regular Chinese Foreign Ministry briefing in Beijing on Thursday, spokesman Li Zhaoxing would say only that China will consider direct talks with Vietnam at an appropriate time.	Li Zhaoxing lives in China.
1671	TRUE	IE	Mark Said and Philip Dick, two members of Ontario Bradley First Air&apos;s crew, were from Montreal, Canada.	Mark Said works for Ontario Bradley First Air.
1608	FALSE	IE	Deployment of Filipino workers in Iraq suspended by Philippine president due to repeated kidnappings.	Filippino workers have been kidnapped by the Philippine president.
1948	TRUE	IE	GLOBAL oil prices clung near their highest levels in at least 21 years yesterday after Russian oil giant Yukos was ordered to stop sales, threatening further strain on thin world supplies.	Oil prices rise.
2063	FALSE	IE	Sun Microsystems, Yahoo and Microsoft will turn up the heat in the corporate instant messaging market by launching new enterprise offerings this spring.	Microsoft&apos;s corporate headquarters are located in the corporate instant messaging market.
1675	FALSE	IE	Cape Town Supreme Court Judge J.H. Berman refused to give Port Nolloth municipal authorities  the right to forcibly remove the squatters.	Cape Town Supreme Court is an organisation based in Port Nolloth.
1922	TRUE	IE	The third AU summit opened in the Ethiopian capital of Addis Ababa on Tuesday, June 29, when Chinese Premier Wen Jiabao delivered a congratulatory message to the representatives of the African Union.	Chinese Premier Wen Jiabao took part in the third AU summit.
1644	FALSE	IE	Kennedy had just won California&apos;s Democratic presidential primary when Sirhan shot him in Los Angeles on June 5, 1968.	Sirhan killed Kennedy.
1913	FALSE	IE	Like the United States, U.N. officials are also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the feuding parties together.	Aristide is killed by Prime Minister Robert Malval.
1889	TRUE	IE	The organizers of the 15th International AIDS Conference, scheduled for next month in Bangkok, Thailand, last Saturday responded to press reports that a prominent hotel in Bangkok discriminated against HIV-positive visitors attending a conference on climate changes.	A climate conference is held in Thailand.
1613	TRUE	IE	An Wang, a native of Shanghai, China, who developed the magnetic pulse controlling device, the principle on which computer memory operates.	An Wang was born in Shanghai.
1884	FALSE	IE	The Geneve-based FAO organizing committee has announced that the location of the 4th International World Food Security conference has been moved from Bangkok to New Delhi for security reasons.	The 4th International World Food security conference is held in Geneve.
1871	TRUE	IE	The third African Union summit opened in the Ethiopia&apos;s capital of Addis Ababa on Tuesday, June 29.	The third African Union summit is held in Addis Ababa.
1691	TRUE	IE	Born in Athens, Psacharopoulos came to the United States at age 17 to enter Oberlin College, where he met Jean Hackett, an actress of New York City.	Jean Hackett lives in New York City.
2014	FALSE	IE	Justice Lewis F. Powell, who Kennedy succeeds, and Chief Justice Warren E. Burger were in Florida.	Justice Lewis F. Powell was born in Florida.
1674	TRUE	IE	Cape Town Supreme Court Judge J.H. Berman refused to give Port Nolloth municipal authorities the right to forcibly remove the squatters.	Judge J.H. Berman works for Cape Town Supreme Court.
1896	FALSE	IE	Latvia, for instance, is the lowest-ranked team in the field but defeated World Cup semifinalist Turkey in a playoff to qualify for the final 16 of Euro 2004.	Latvia is defeated by Turkey.
1898	TRUE	IE	Teenage sensation Wayne Rooney powered England into the quarter-finals of Euro 2004 with two goals in Monday&apos;s 4-2 defeat of Croatia and they were joined in the last eight by champions, France who beat Switzerland 3-1.	England defeats Croatia.
1891	TRUE	IE	Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders by telephone later this week in an effort to find an agreed candidate.	An EU-Japan summit takes place in Tokyo.
276	TRUE	IR	Aristide was educated in the Vatican, and therefore he&apos;s more fluent in Italian, Greek and Hebrew than English	Aristide speaks Italian, Greek, Hebrew and English.
93	TRUE	IR	The drugstore chain said cost cutting and a jump in prescription drug sales fueled its gains.	Drug sales increase.
298	TRUE	IR	Italy and Germany have each played twice, and they haven&apos;t beaten anybody yet.	Neither Italy nor Germany have won yet.
2025	FALSE	IR	There are a lot of farmers in Poland who worry about their future if Poland joins the European Union.	Poland joins the European Union.
263	TRUE	IR	Crayola&apos;s new Magic Scent crayons emit food aromas such as coconut, chocolate and cherry when rubbed on paper. They&apos;re non-toxic, but because of the aromas children may try to eat the crayons, posing a danger of choking.	Magic Scent crayons smell good, but if eaten, may be dangerous.
312	TRUE	IR	Sonia Gandhi can be defeated in the next elections in India if between now and 2009, BJP can make Rural India Shine, if it can make every young man have a job that he can be proud of.	Next elections in India will take place in 2009.
323	FALSE	IR	Across the continent, voters voiced discontent by casting ballots for opposition and fringe parties. But most of the 350 million EU citizens eligible to vote didn&apos;t bother to even cast a protest ballot in the last European elections.	Most EU citizens voted in the last European election.
2019	FALSE	IR	Spain pulled its 1,300 troops from Iraq last month.	Spain sends troops to Iraq.
1846	FALSE	IR	The speech by Edwards provided the first-term senator from North Carolina his biggest national stage and a prime-time televised showcase for a candidate that voters know even less about than Kerry.	Edwards supports Kerry.
113	FALSE	IR	This request is comprised of $1.1 billion for traditional Active MILCON, $1.4 billion for Military Family Housing, $149.1 million for Air National Guard traditional MILCON and $53.7 million for Air Force Reserve traditional MILCON.	A request was reduced to $1.1 billion
293	TRUE	IR	An estimated 10,000 of Scotland&apos;s 15,000-strong police force is set to be deployed during the three-day event.	Two-thirds of the Scottish police force will be deployed at the happening.
2024	FALSE	IR	If Turkey joins the ranks of the EU, its boundaries will extend to the problem countries of the Middle East.	Turkey to join the EU.
2021	FALSE	IR	Spain announced earlier in the week that it was sending three planes of relief supplies to Afghanistan.	Spain opens embassy in Afghanistan.
316	FALSE	IR	The debacle marked a new low in the erosion of the SPD&apos;s popularity, which began shortly after Mr Schroeder&apos;s election in 1998. The trend accelerated after the chancellor unveiled Agenda 2010, his package of painful economic reforms, in March 2003.	SPD&apos;s popularity is growing.
932	TRUE	IR	Oil prices drop to two-month low	Oil prices drop
300	TRUE	IR	Latvia, for instance, is the lowest-ranked team in the field but defeated World Cup semifinalist Turkey in a playoff to qualify for the final 16 of Euro 2004.	Latvia has beaten Turkey.
322	TRUE	IR	Turnout for the historic vote for the first time since the EU took in 10 new members in May has hit a record low of 45.3%.	New members joined the EU.
306	TRUE	IR	The poll, for the first time, has more than half of Americans, 52 percent, saying the war in Iraq was not worth fighting. An overwhelming majority of respondents also said it found the number of U.S. casualties in Iraq unacceptable.	Many Americans don&apos;t think the war in Iraq was necessary.
2016	TRUE	IR	Google files for its long awaited IPO.	Google goes public.
317	TRUE	IR	The party of chancellor Gerhard Schroeder scored its worst electoral performance since the war at the June 13 European election and performed poorly at a simultaneous vote in Thuringia state.	Schroeder&apos;s party didn&apos;t do well at the European elections.
966	TRUE	IR	A former police officer was charged with murder Thursday in the slaying of a college student who allegedly had threatened to expose their sexual relationship, authorities said.	Ex-cop Rios killed student
967	FALSE	IR	Chadrick Fulks escaped from a Kentucky jail.	Chadrick Fulks gets the death penalty
933	TRUE	IR	Crude Oil Prices Slump	Oil prices drop
75	TRUE	IR	At the close, the Dow Jones industrial average was down 45 points, or 0.4 percent.	Dow Jones is down.
285	TRUE	IR	Security preparations kept protestors at bay at the recent G8 Summit on Sea Island (USA).	The G8 summit took place on an American island.
2018	FALSE	IR	Microsoft browser bug may access private files.	Microsoft fixes browser bug.
287	TRUE	IR	The G8 summit, held June 8-10, brought together leaders of the world&apos;s major industrial democracies, including Canada, France, Germany, Italy, Japan, Russia, United Kingdom, European Union and United States.	Canada, France, Germany, Italy, Japan, Russia, United Kingdom and European Union participated in the G8 summit.
311	TRUE	IR	Congress president Sonia Gandhi has been allotted a separate office here as head of the national advisory panel for India&apos;s ruling coalition.	Ms Gandhi is a member of the Congress.
2022	FALSE	IR	Europe is currently trying to decide whether Turkey should remain a friend, either as an EU member or as a peripheral country.	Turkey to join the EU.
305	TRUE	IR	Teenage sensation Wayne Rooney powered England into the quarter-finals of Euro 2004 with two goals in Monday&apos;s 4-2 defeat of Croatia and they were joined in the last eight by champions France who beat Switzerland 3-1.	France will play England in the Euro 2004 quarter-finals.
101	TRUE	IR	The emerging historical record now shows White House officials downgraded threats from al Qaeda prior to 9/11 to focus on other priorities.	White House ignores the threat of attack
313	TRUE	IR	Under the roadmap agreed by Pakistan and India, the foreign secretaries would meet in New Delhi on June 27-28 followed by a meeting between foreign ministers in August.	In June there will be a diplomatic meeting between Pakistan and India.
1849	FALSE	IR	MSF, a neutral group which depends primarily on private donations, has a reputation for sending medical staff into troublespots regarded by other agencies as too dangerous.	MSF fears dangers.
1815	FALSE	IR	Even if terrorists were to attack on Election Day, it is highly unlikely that voting could or would be halted across the United States, lawmakers and scholars said yesterday.	Election postponed
2027	FALSE	IR	Japan has been an eager participant in the Winter Olympics since the Second Games, held at St. Moritz, Switzerland, in 1928.	Winter Olympics held in Japan.
1358	FALSE	IR	An increase of $10 (U.S.) a barrel in the price of crude oil -- if sustained -- could knock about half of one percentage point off global economic growth.	Crude oil price increases.
937	TRUE	IR	Iraqi kidnappers have released a Lebanese construction worker kidnapped this week.	Hostage released in Iraq.
104	FALSE	IR	China delayed the Security Council vote on a controversial measure to extend the immunity of US peacekeeping troops from prosecution for war crimes.	Immunity for soldiers renewed.
2121	FALSE	IR	Iraqi President Saddam Hussein has promised to give any Iraqi who shoots down a US or British helicopter 50 million dinars.	Iraq shoots down a US helicopter.
261	TRUE	IR	Teachers are earning credentials from Commission on Teacher Credentialing that allow them to instruct non-English speakers without being fully bilingual.	Commission on Teacher Credentialing offers non-bilingual teachers credentials to work with non-English speaking students.
2023	FALSE	IR	EU membership is a strategic necessity for Turkey, as Ankara will inevitably suffer greater foreign policy problems in the future unless it makes it into the Union.	Turkey to join the EU.
277	TRUE	IR	A conference on Haiti was called by Aristide in hopes of rallying world support for tightening a U.N.-ordered oil and arms embargo designed to punish the Haitian military.	U.N. has imposed sanctions against Haiti.
2138	FALSE	IR	In 1995, France&apos;s President Jacques Chirac publicly predicted that an Israel-Syria agreement would be signed by the end of 1995.	Israel signs a peace agreement.
2020	FALSE	IR	Germany and Spain are all sending more troops to Afghanistan.	Spain to open embassy in Afghanistan.
310	TRUE	IR	Clinton ordered missile strikes against Iraq in December 1998 but did not press aggressively for UN inspectors to return.	There was a missile attack against Iraq in 1998.
2136	FALSE	IR	With John Kerry newly energised for the upcoming election battle against George Bush, the secretary of state visits a beleaguered Iraqi capital where the US administration&apos;s policies are in ruins.	George Bush visits Baghdad.
2026	FALSE	IR	Mary Kate Olsen in rehab for cocaine addiction.	Mary Kate Olsen is anorexic.
968	TRUE	IR	A federal jury needed just four hours to return a death sentence against Chadrick Fulks, who pleaded guilty to kidnapping and carjacking resulting in the death of an Horry County woman.	Chadrick Fulks gets the death penalty
136	FALSE	IR	Excessive amounts of pesticides and chemical fertilizers may be poisoning huge tracts in India.	Pesticides ruin fruits.
314	TRUE	IR	But even in light of this unparalleled decline, the SPD&apos;s result in the June 13 European elections is of a qualitatively different character.	European elections took place on June 13.
320	FALSE	IR	German Chancellor Gerhard Schroeder accused U.K. Prime Minister Tony Blair and Italian Prime Minister Silvio Berlusconi of allying with European conservative parties in a &apos;&apos;blockade&apos;&apos; of the German and French-backed candidate, Belgian Prime Minister Guy Verhofstadt.	Schroeder doesn&apos;t support Vershoftstadt as a candidate.
962	FALSE	IR	Audrey Seiler faked her abduction in March.	Abducted Audrey Seiler found four days after missing
315	TRUE	IR	The debacle marked a new low in the erosion of the SPD&apos;s popularity, which began shortly after Mr Schroeder&apos;s election in 1998. The trend accelerated after the chancellor unveiled Agenda 2010, his package of painful economic reforms, in March 2003.	Schroeder was elected in 1998.
272	TRUE	IR	In his three years in exile in Washington, Aristide has been protected by the Secret Service 24 hours a day. And during his last week in exile, amid frenzied preparations for his return to Haiti, Aristide took time out to thank the Americans who helped his Administration.	Aristide is going back to Haiti after being exiled for years.
281	TRUE	IR	Juan Antonio Samaranch, president of the International Olympic Committee, left Lillehammer for Sarajevo to pay tribute to the besieged host city of the 1984 Winter Games	In 1984 the Olympic games were held in Sarajevo.
291	TRUE	IR	The cost of security when world leaders gather near Auchterarder for next year&apos;s G8 summit, is expected to top $150 million.	More than $150 million will be probably spent for security at next year&apos;s G8 summit.
2135	FALSE	IR	Among the issues on the vice president&apos;s agenda are human rights, the environment, a possible visit by Bill Clinton to China next year, and the controversy over alleged Chinese political contributions.	Clinton visited China.
2127	FALSE	IR	Coyote shot after biting girl in Vanier Park.	Girl shot in park.
959	FALSE	IR	Miramax paid Moore $6 million for the film and planned a summer release date, two organizations mounted campaigns against it.	Disney and Miramax against Fahrenheit 9/11
116	TRUE	IR	Statistically, anorexia strikes more than one in every 100 teen-age girls and young women.	Anorexia strikes teens.
2017	FALSE	IR	In order to concentrate on the upcoming release of the Pentium 4, Intel delays Pentium III 1.13GHz relaunch.	Intel delays Pentium 4 release.
294	TRUE	IR	The three-day G8 summit will take place in Scotland.	The G8 summit will last three days.
1814	TRUE	IR	Afghanistan&apos;s first post-Taliban elections have been delayed for a second time amid increasing violence towards voters and officials, it was announced on Friday.	Election postponed
934	FALSE	IR	The government announced last week that it plans to raise oil prices.	Oil prices drop
936	FALSE	IR	Britney Spears is getting hitched for the second time this year - this time to a professional dancer father whose girlfriend of three years is pregnant.	Britney Spears is pregnant
325	TRUE	IR	Across the continent, voters voiced discontent by casting ballots for opposition and fringe parties. But most of the 350 million EU citizens eligible to vote didn&apos;t bother to even cast a protest ballot.	Some people voted for opposition parties to voice their discontent.
1847	FALSE	IR	Crude oil prices jumped to record levels yesterday as already jittery international oil markets reacted to turmoil at Russian&apos;s largest petroleum producer.	Oil prices hit record low.
2129	FALSE	IR	A Vancouver wildlife conservation officer shot and killed an urban coyote in a Kitsilano park after the animal bit a child and attacked pets.	Girl shot in a park.
938	FALSE	IR	Terrorists in Iraq killed an American soldier they have held hostage since early April because the U.S. government did not change its policy in Iraq.	Hostage released in Iraq.
82	TRUE	IR	The Los Angeles Lakers won their 3rd straight NBA championship Wednesday night, beating the New Jersey Nets 113-107, sweeping that 4-game championship series.	Lakers win the championship.
303	TRUE	IR	Teenage sensation Wayne Rooney powered England into the quarter-finals of Euro 2004 with two goals in Monday&apos;s 4-2 defeat of Croatia and they were joined in the last eight by champions France who beat Switzerland 3-1.	England will play the quarter-finals of Euro 2004.
103	FALSE	IR	The White House ignores Zinni&apos;s opposition to the Iraq War.	White House ignores the threat of attack
134	FALSE	IR	The Bugbear virus infects computers running the Windows operating system and an unpatched version of Internet Explorer 5.5.	Virus infects thousands of computers.
961	TRUE	IR	Seiler was reported missing March 27 and was found four days later in a marsh near her campus apartment.	Abducted Audrey Seiler found four days after missing.
266	TRUE	IR	Three of its five permanent members, France, Russia and China, are pushing the U.N. Security Council to lift the embargo on Iraq.	France, Russia and China want to put an end to sanctions against Iraq.
1848	FALSE	IR	MSF was unnerved by a Taliban accusation that its members were spying for the U.S.	Taliban spies on U.S.
321	TRUE	IR	German Chancellor Gerhard Schroeder accused U.K. Prime Minister Tony Blair and Italian Prime Minister Silvio Berlusconi of allying with European conservative parties in a &apos;&apos;blockade&apos;&apos; of the German and French-backed candidate, Belgian Prime Minister Guy Verhofstadt.	According to Schroeder, Blair and Berlusconi are actively opposing Verhofstadt.
133	TRUE	IR	An Internet-borne infection incapacitated tens of thousands of computers on Tuesday, snarling company networks and frustrating home users as it spread across the globe.	Virus infects thousands of computers
278	TRUE	IR	The council has prohibited any travel outside of Haiti by all officers of the Haitian military and police and all major participants in the September, 1991, coup.	Haitian military is not allowed to leave Haiti.
965	FALSE	IR	Rios had arrested the student in April for interfering with him and another officer as they answered a police call about a loud party.	Ex-cop Rios killed student
2139	FALSE	IR	Turkey was not in favor of &quot;the United States using Turkish bases for conflicts not affecting Turkey.&quot;	The United States uses Turkish military bases.
550	FALSE	IR	There are two sides to the bloody conflict in Chechnya, but only one is legitimate.	Two sides near agreement on Chechnya&apos;s fate.
25	FALSE	IR	The film was the evening&apos;s big winner, bagging the prestigious best picture Oscar to bring its tally to six.	Two films won six Oscars.
2123	FALSE	IR	A US Patriot battery shoots down an Iraqi missile in Kuwait.	Iraq shoots down a US helicopter.
2122	FALSE	IR	Iraq claimed Tuesday to have shot down a second U.S. spy plane in less than a month.	Iraq shoots down U.S. helicopter.
1816	FALSE	IR	The U.S. and British governments are gathering evidence to determine whether genocide is being committed in the Darfur region of Sudan, where an estimated 30,000 people have been killed and more than a million have fled their homes.	U.S. and British governments are determining to kill 30,000 people in Sudan.
49	TRUE	IR	Kidnappings in Argentina have increased more than fivefold in the last two years, official figures show.	Argentina sees upsurge in kidnappings.
283	TRUE	IR	The Lillehammer Olympic Games organizing committee said 65 countries have entered, matching the number of nations at the 1992 Winter Games in Albertville, France.	In the Lillehammer Olympic Games there are as many participating countries as in Albertville in 1992.
308	FALSE	IR	Former president Bill Clinton said he agreed with President Bush&apos;s decision to confront Iraq about its potential weapons programmes, but thought the administration erred in starting a war in 2003 rather than allowing UN weapons inspectors longer to carry out their work.	Clinton agrees with Bush&apos;s decision to start the war in 2003.
264	TRUE	IR	Iraq has been under a stringent economic embargo since its August 1990 invasion of Kuwait and relief workers are increasingly concerned about the health of its population.	An embargo was imposed on Iraq in 1990.
1271	TRUE	MT	&quot;Al Thawra&quot; added, &quot;Lahoud is well aware of that and realizes that Israeli challenges have never stopped for one moment,&quot; and that escalation &quot;will not hamper him from undertaking his national duties, relying on the support of all of Lebanon with all of its factions, as well as on the full support of Syria in order to achieve his national tasks and deliver on his commitments.	The newspaper added that regardless of the Israeli challenges, Lahoud would still be able to deliver on his duties, supported by Syria and a united Lebanon.
1349	FALSE	MT	Seven Egyptian human rights organizations issued a plea today, Monday, to Egyptian President Hosni Mubarak to hold accountable those responsible for the acts of torture that targeted residents of a village in Egypt&apos;s countryside while investigating two capital murders last August.	Particular seven organizations Egyptian Organization for human rights today, Monday appealed to the Egyptian President Hosni Mubarak a cost-accounting the responsible for acts of torture which aimed villagers in upper Egypt during the investigation in the crimes killed in last August
1299	TRUE	MT	The Natural Disaster Coordination Authority reported in a statement in Guatemala City, that &quot;due to our proximity to the extremely violent hurricane, with wind speed approaching 290 km/hour, which may pose a severe threat to the population, we have decided to declare a state of maximum emergency.&quot;	A state of emergency was declared in Guatemala.
